"ID","Name","Category","Longitude","Latitude"
"84","مصيف الماء المعين","آبار وخزانات ومصادر مياه أخرى","19.990654","32.0167867"
"110","أطلال ضريح وادي أم السبط","الأودية ومصباتها","13.26455","31.0810166666667"
"111","استراحة منتزه وادي الكوف","الأودية ومصباتها","21.5634833333334","32.7017888888889"
"113","الفوار أو البئر الساخن وادي تنازوفت","الأودية ومصباتها","10.2558818","25.178641"
"116","بحيرات وادي انوير","الأودية ومصباتها","15.9955309","29.2917857"
"117","بحيرة مجزم","الأودية ومصباتها","9.832159","30.2549718"
"118","بحيرة وادي المجينين","الأودية ومصباتها","13.2511782","32.2940425"
"119","تجمع سكاني - وادي بي","الأودية ومصباتها","15.3260565","30.8382966"
"120","تفرع طريق محمية وادي الأثل","الأودية ومصباتها","12.4833012","32.1583931"
"121","تقاطع مدخل طريق وادي ماجر","الأودية ومصباتها","14.5246625","32.3456526"
"123","جسر وادي الكوف","الأودية ومصباتها","21.5651463","32.6969085"
"124","جسر وادي الكوف القديم","الأودية ومصباتها","21.5745439","32.6985923"
"126","حقفة وادي اعطية","الأودية ومصباتها","20.5092","31.6317"
"127","حمام وادي نينا","الأودية ومصباتها","15.2496203","29.7697964"
"128","شط وادي جبرون","الأودية ومصباتها","14.1503293","32.7118348"
"129","شط وادي سليم","الأودية ومصباتها","24.0108776","32.0482065"
"130","شلال وادي مرقس","الأودية ومصباتها","22.2109384","32.8478912"
"131","صخرة وادي رزق","الأودية ومصباتها","25.087924","31.7744033"
"132","عين وادي الباقول","الأودية ومصباتها","12.432575","31.9990194444444"
"133","عيون وادي الواكيم","الأودية ومصباتها","11.7686111111111","32.0352777777778"
"136","قلتة وادي بوبو","الأودية ومصباتها","10.6366694444445","24.5794388888889"
"137","قلعة وادي الباب","الأودية ومصباتها","20.5283472","31.5715241"
"139","كاف وادي الذيب","الأودية ومصباتها","24.8696706","31.8795818"
"140","كهف مناخر العبد وادي الشويعر","الأودية ومصباتها","21.2977803","32.7737372"
"141","محمية وادي الأثل","الأودية ومصباتها","12.3869444444445","32.3091666666667"
"142","مدخل وادي تاملت","الأودية ومصباتها","11.43731","25.67413"
"143","مستشفى وادي جارف القروي","الأودية ومصباتها","16.3175742","31.0778794"
"144","مسجد وادي الحسون العتيق","الأودية ومصباتها","13.9938527","32.6748412"
